statement_originator,statement_date,statement,verdict,statement_source,tags,factchecker,factcheck_date,factcheck_analysis_link
Mike Lee,"February 16, 2015","The FCC’s net neutrality policy includes what is ""essentially a massive tax increase.""",half-true,email through Protect Internet Freedom,National; Technology; Taxes,Lauren Carroll,"February 26, 2015",https://www.politifact.com/factchecks/2015/feb/26/mike-lee/effect-net-neutrality-rules-taxes-uncertain/
Trebor Banstetter,"February 2, 2015","A bill to eliminate Delta Air Lines’ jet fuel tax breaks ""violates federal law and puts the state at risk of losing critical funding from the Federal Aviation Administration.""",true,a statement,Georgia; Corporations; Gas Prices; Government Regulation; State Budget; Taxes,Nancy Badertscher,"February 23, 2015",https://www.politifact.com/factchecks/2015/feb/23/trebor-banstetter/delta-spokesman-correct-federal-law-and-jet-fuel-t/
Nicholas Mattiello,"January 18, 2015","""There haven't been tax cuts for the rich"" in Rhode Island.",false,"interview on ""10 News Conference""",Rhode Island; Economy; History; Jobs; Poverty; State Budget; Wealth; Taxes,C. Eugene Emery Jr.,"February 8, 2015",https://www.politifact.com/factchecks/2015/feb/08/nicholas-mattiello/house-speaker-nicholas-mattiello-says-rhode-island/
Paul Stekler,"January 24, 2015","Louisiana’s film incentives program is so big ""they actually shot an upcoming film initially titled ‘Don’t Mess With Texas’ in New Orleans!""",half-true,oped column,State Budget; Taxes; Texas,W. Gardner Selby,"February 7, 2015",https://www.politifact.com/factchecks/2015/feb/07/paul-stekler/paul-stekler-says-louisiana-incentives-best-nation/
X posts,"February 2, 2015","""Scott Walker to cut $300 million from universities, spend $500 million on a pro basketball stadium.""",half-true,Twitter posts,Education; Sports; State Budget; Taxes; Wisconsin,Tom Kertscher,"February 6, 2015",https://www.politifact.com/factchecks/2015/feb/06/tweets/scott-walker-wants-cut-college-budgets-13-and-spen/
Rand Paul,"January 25, 2015","""When you look at the earned income tax credit, it has about a 25 percent fraud rate. We're looking at $20 billion to $30 billion.""",half-true,forum at the Freedom Partners 2015 California retreat,National; Welfare; Taxes,Steve Contorno,"January 30, 2015",https://www.politifact.com/factchecks/2015/jan/30/rand-paul/rand-paul-says-earned-income-tax-credit-has-25-per/
John Boehner,"January 25, 2015","The Affordable Care Act ""basically puts a penalty or a tax on employers for every new job they create.""",half-true,"interview on CBS' ""60 Minutes""",National; Economy; Health Care; Jobs; Taxes,Louis Jacobson,"January 29, 2015",https://www.politifact.com/factchecks/2015/jan/29/john-boehner/john-boehner-says-obamacare-puts-penalty-or-tax-em/
Stuart Varney,"January 27, 2015","""It will cost $50,000 per enrollee in Obamacare over the next 10 years.""",false,"interview on Fox News' ""America's Newsroom""",Health Care; Taxes; PunditFact,Jon Greenberg,"January 28, 2015",https://www.politifact.com/factchecks/2015/jan/28/stuart-varney/will-aca-cost-50000-enrollee/
John Kasich,"January 25, 2015","""You cannot build a little guy up by tearing a big guy down -- Abraham Lincoln said it.""",pants-fire,"comments on ""Fox News Sunday""",National; Candidate Biography; Taxes,Lauren Carroll,"January 25, 2015",https://www.politifact.com/factchecks/2015/jan/25/john-kasich/did-abraham-lincoln-say-you-cannot-build-little-gu/
Tammy Baldwin,"January 13, 2015","Middle-class Americans ""pay a higher tax rate than millionaires and billionaires.""",half-true,news release,Income; Wealth; Workers; Taxes; Wisconsin,Tom Kertscher,"January 25, 2015",https://www.politifact.com/factchecks/2015/jan/25/tammy-baldwin/middle-class-pays-higher-tax-rates-millionaires-se/
Jennifer Granholm,"January 18, 2015","Says Mitt Romney ""pays less tax than the guys who installed his car elevators.""",half-true,"interview on ABC's ""This Week""",Taxes; PunditFact,Jon Greenberg,"January 18, 2015",https://www.politifact.com/factchecks/2015/jan/18/jennifer-granholm/former-michigan-gov-romney-pays-less-tax-guys-who-/
Bob Buckhorn,"January 15, 2015","Says he ""balanced the budget without raising taxes.""",mostly-false,campaign ad,City Budget; Taxes; Florida,Richard Danielson,"January 16, 2015",https://www.politifact.com/factchecks/2015/jan/16/bob-buckhorn/buckhorn-balanced-city-budget-without-raising-taxe/
James Aubin,"January 5, 2015","""Colorado raked in $60 million in marijuana taxes and licensing fees in the past year.""",true,newspaper commentary,Rhode Island; Drugs; Legal Issues; Taxes; Marijuana,Katie Mulvaney,"January 11, 2015",https://www.politifact.com/factchecks/2015/jan/11/james-aubin/advocate-says-colorado-received-60-million-taxes-a/
Scott Walker,"December 17, 2014","""The difference over the (previous) four years between where things were headed and where we brought them to over the last four years is a total of $816 in saved property tax money.""",mostly-false,remarks to reporters,State Budget; Taxes; Wisconsin,Tom Kertscher,"January 9, 2015",https://www.politifact.com/factchecks/2015/jan/09/scott-walker/scott-walker-claims-credit-814-property-tax-saving/
Rick Scott,"January 6, 2015","""Estimates say individuals who escaped these high tax states have taken with them around $2 trillion in adjusted gross income.""",mostly-false,his second inaugural address,Taxes; Florida,Joshua Gillin,"January 8, 2015",https://www.politifact.com/factchecks/2015/jan/08/rick-scott/people-moved-2-trillion-worth-income-escape-high-t/
Louie Gohmert,"January 5, 2015","Says President Barack Obama has ""not proposed one thing that would change"" the fact that Warren Buffett pays a lower tax rate than his secretary.",false,Fox news interview,National; Taxes,Lauren Carroll,"January 7, 2015",https://www.politifact.com/factchecks/2015/jan/07/louie-gohmert/louie-gohmert-says-obama-has-not-proposed-one-tax-/
Chain email,"January 1, 2015","New tax increases that went into effect on Jan. 1, 2015, ""all passed under the Affordable Care Act, aka Obamacare.""",pants-fire,chain email,National; Health Care; Medicare; Taxes,Louis Jacobson,"January 5, 2015",https://www.politifact.com/factchecks/2015/jan/05/chain-email/what-will-happen-taxes-january-2015-chain-email-wr/
Kevin Brady,"December 17, 2014","""Texas families have kept more than $10 billion in their family budgets since we successfully fought to restore Texas' sales tax deduction a decade ago.""",true,press release,States; Taxes; Texas,W. Gardner Selby,"December 23, 2014",https://www.politifact.com/factchecks/2014/dec/23/kevin-brady/kevin-brady-says-sales-tax-deduction-has-saved-tex/
Scott Walker,"December 12, 2014","""My property taxes went down largely because my technical college portion went down 35.5% because of the money we put in at state.""",true,tweet,Taxes; Wisconsin,Dave Umhoefer,"December 18, 2014",https://www.politifact.com/factchecks/2014/dec/18/scott-walker/scott-walker-says-hes-got-himself-thank-his-tax-bi/
Tom Coburn,"December 11, 2014","The home-mortgage deduction is widely thought to be ""a middle-class benefit. It's not -- 73 percent of it goes to people making a quarter-million dollars or more a year.""",half-true,interview with CNN,National; Housing; Income; Taxes,Louis Jacobson,"December 17, 2014",https://www.politifact.com/factchecks/2014/dec/17/tom-coburn/coburn-says-73-percent-benefits-mortgage-deduction/
Susan Stimpson,"December 2, 2014","""Bill Howell has been the consistent force behind every major tax increase in Virginia in the last decade.""",mostly-true,news release.,Voting Record; Taxes; Virginia,Nancy  Madsen,"December 15, 2014",https://www.politifact.com/factchecks/2014/dec/15/susan-stimpson/susan-stimpson-says-bill-howell-has-been-force-beh/
Steve Adler,"December 2, 2014","Mike ""Martinez has voted to raise taxes and utility rates while ending free bus service for seniors.""",mostly-true,TV ad,Transportation; Voting Record; Taxes; Texas,W. Gardner Selby,"December 11, 2014",https://www.politifact.com/factchecks/2014/dec/11/steve-adler/steve-adler-mike-martinez-tax-utility-rates-fares/
Mario Loyola,"November 5, 2014","""Wisconsin’s state budget is almost twice as large per person as the state budget of Texas, and even after billions in tax cuts, Wisconsin’s working families and businesses remain subject to a heavy tax burden.""",mostly-true,opinion piece,State Budget; Taxes; Wisconsin,Dave Umhoefer,"December 1, 2014",https://www.politifact.com/factchecks/2014/dec/01/mario-loyola/mario-loyola-says-even-cuts-wisconsin-spending-and/
Jim Skaggs,"November 5, 2014","Austin is ""burdened by the fastest-growing tax increases of any major city in the nation.""",false,as quoted,City Budget; City Government; Taxes; Texas,W. Gardner Selby,"November 28, 2014",https://www.politifact.com/factchecks/2014/nov/28/jim-skaggs/austin-area-activist-says-austin-has-fastest-growi/
Anne Nolan,"November 12, 2014","""In Rhode Island, a recent study showed that among a group of people who had been homeless for a year or more, Medicaid costs averaged about $60,000 per person.""",false,Journal commentary,Rhode Island; Children; Economy; Families; Federal Budget; Health Care; Housing; Human Rights; Income; Medicaid; Poverty; Public Health; State Budget; Taxes; Urban; Veterans; Welfare; Women,C. Eugene Emery Jr.,"November 23, 2014",https://www.politifact.com/factchecks/2014/nov/23/anne-nolan/crossroads-head-anne-nolan-says-long-term-homeless/
Edward Lindsey,"November 10, 2014",Georgia has some of the highest gas taxes in the Southeast but one of the lowest taxes on gasoline for transportation in the nation.,mostly-true,Atlanta Journal-Constitution story,Georgia; Gas Prices; Taxes,Nancy Badertscher,"November 18, 2014",https://www.politifact.com/factchecks/2014/nov/18/ed-lindsey/gas-tax-comparison-mostly-target/
Peter Barca,"November 7, 2014","Republicans approved 12 times larger tax breaks for ""people making over 350 grand"" than for ""the average middle-class person.""",mostly-true,interview,State Budget; Taxes; Wisconsin,Dave Umhoefer,"November 14, 2014",https://www.politifact.com/factchecks/2014/nov/14/peter-barca/peter-barca-gop-tax-breaks-12-times-larger-top-ear/
Johnny Isakson,"November 21, 2014",Georgia has the country’s second highest number of fraudulent tax refund claims.,half-true,press release,Georgia; Crime; Taxes,Nancy Badertscher,"November 14, 2014",https://www.politifact.com/factchecks/2014/nov/14/johnny-isakson/Isakson-off-about-income-tax-fraud-ranking/
Daily Caller,"November 3, 2014","""Jeanne Shaheen was principally involved in a plot with Lois Lerner and President Barack Obama’s political appointee at the IRS to lead a program of harassment against conservative nonprofit groups during the 2012 election""",false,article,New Hampshire; Government Regulation; Taxes,Jonathan Van Fleet,"November 4, 2014",https://www.politifact.com/factchecks/2014/nov/04/daily-caller/jeanne-shaheen-hit-last-minute-attack-over-lois-le/
Ernest Almonte,"October 19, 2014","Seth Magaziner ""plans to spend billions more of your money.""",false,television commercial,Rhode Island; Debt; Deficit; Economy; Education; Jobs; Message Machine 2014; Negative Campaigning; Pensions; Small Business; State Budget; Unions; Taxes,C. Eugene Emery Jr.,"October 29, 2014",https://www.politifact.com/factchecks/2014/oct/29/ernest-almonte/ernest-almonte-claims-seth-magaziner-treasurer-pla/
Mary Burke,"October 24, 2014","Says Scott Walker ""gave $6 million in tax breaks to a corporation and told them that they can keep that money even if they lay off half their workforce.""",half-true,speech,Wisconsin; Economy; Infrastructure; Jobs; State Budget; Taxes; Workers,Tom Kertscher,"October 28, 2014",https://www.politifact.com/factchecks/2014/oct/28/mary-burke/mary-burke-says-scott-walker-deal-lets-company-kee/
Sheryl Cole,"October 15, 2014","""This year,"" the Austin City Council ""granted a small homestead"" property tax ""exemption of $5,000... applied equally to everyone. And we also granted an exemption for the elderly and the disabled members of the community.""",mostly-false,"""Ballot Boxing"" candidate forum",Taxes; Texas,W. Gardner Selby,"October 21, 2014",https://www.politifact.com/factchecks/2014/oct/21/sheryl-cole/austin-mayoral-hopeful-sheryl-cole-says-year-we-gr/
Ernest Almonte,"October 5, 2014","""I was speaking out on pension reform almost 17 years ago.""",mostly-true,"interview on WLNE's ""On the Record""",Rhode Island; Candidate Biography; Debt; Deficit; Economy; Government Regulation; History; Labor; Pensions; Retirement; State Budget; Taxes; Unions; Wealth; Workers,C. Eugene Emery Jr.,"October 20, 2014",https://www.politifact.com/factchecks/2014/oct/20/ernest-almonte/treasurer-candidate-ernest-almonte-says-he-was-spe/
Chain email,"September 30, 2014","""2014 Federal Tax Refunds To Be Delayed Until October 2015.""",pants-fire,chain email,National; Taxes,Nai Issa,"October 16, 2014",https://www.politifact.com/factchecks/2014/oct/16/chain-email/viral-claim-says-irs-will-be-delaying-tax-refunds-/
Mary Burke,"October 8, 2014","Under Scott Walker's ""tax plan, the average Wisconsin taxpayer got just $11 a month. But corporations got $610 million in tax cuts. Millionaires got at least $1,400 per year.""",half-true,TV ad,Corporations; Income; State Budget; Wealth; Taxes; Wisconsin,Tom Kertscher,"October 16, 2014",https://www.politifact.com/factchecks/2014/oct/16/mary-burke/scott-walkers-tax-plan-favors-rich-corporations-ov/
No Tax For Tracks,"September 30, 2014","The Greenlight Pinellas 1-cent sales tax ""is permanent, we never get to vote on this again.""",half-true,email newsletter,Transportation; Taxes; Florida,Joshua Gillin,"October 14, 2014",https://www.politifact.com/factchecks/2014/oct/14/no-tax-tracks/greenlight-pinellas-opponents-says-residents-will-/
American LeadHERship PAC,"October 8, 2014","""As mayor, [Allan Fung] raised taxes three times.""",mostly-true,TV commercial,Rhode Island; City Budget; Debt; Economy; History; Labor; Pensions; Retirement; Workers; Taxes,C. Eugene Emery Jr.,"October 14, 2014",https://www.politifact.com/factchecks/2014/oct/14/american-leadhership-pac/american-leadhership-ad-ignores-three-years-allan-/
Allan Fung,"September 29, 2014","In the 38 Studios deal, ""Wall Street investors took a risk, and went bust.""",false,TV commercial,Bankruptcy; Rhode Island; Debt; Economy; History; Message Machine 2014; Negative Campaigning; State Budget; Taxes,C. Eugene Emery Jr.,"October 12, 2014",https://www.politifact.com/factchecks/2014/oct/12/allan-fung/allan-fung-claims-wall-street-investors-went-bust-/
Republican Party of Florida,"September 22, 2014","Judithanne McLauchlan ""was part of a group that supports imposing a state income tax on Floridians.""",mostly-false,campaign commercial,Taxes; Florida,Joshua Gillin,"October 3, 2014",https://www.politifact.com/factchecks/2014/oct/03/republican-party-florida/state-gop-tries-equate-judithanne-mclauchlan-state/
Scott Walker,"September 18, 2014","""Thanks to our reforms, the average family will have an extra $322 to spend.""",mostly-true,campaign TV ad,State Budget; Taxes; Wisconsin,Dave Umhoefer,"September 26, 2014",https://www.politifact.com/factchecks/2014/sep/26/scott-walker/scott-walker-says-tax-cuts-amount-322-average-fami/
Mary Burke,"September 11, 2014","Says Scott Walker cut ""taxes for the wealthiest"" and raised taxes ""on 140,000 Wisconsin families.""",half-true,TV ad,Housing; Income; Message Machine 2014; Poverty; Taxes; Wisconsin,Tom Kertscher,"September 25, 2014",https://www.politifact.com/factchecks/2014/sep/25/mary-burke/scott-walker-cut-taxes-rich-raised-them-families-m/
Mary Burke,"September 10, 2014","Says Scott Walker's jobs agency gives financial incentives that lead ""Wisconsin companies to look at shipping jobs elsewhere. ... A company got $4.6 million in taxpayer money and actually reduced its jobs by 300 people.""",mostly-false,interview,Economy; Jobs; State Budget; Workers; Taxes; Wisconsin,Tom Kertscher,"September 19, 2014",https://www.politifact.com/factchecks/2014/sep/19/mary-burke/scott-walkers-jobs-agency-gives-incentives-lead-lo/
Mark Harris,"September 2, 2014","Says Glenn Grothman pushed through state tax credits that when phased in, ""someone that owns a factory that produces millions in income"" will pay ""less tax than their nephew would if he worked full time at Taco Bell for minimum wage.""",mostly-true,interview,Income; Small Business; State Budget; Taxes; Wisconsin,Tom Kertscher,"September 14, 2014",https://www.politifact.com/factchecks/2014/sep/14/mark-harris-wisc/new-wisconsin-tax-breaks-will-let-factory-owners-p/
Alison Lundergan Grimes,"August 15, 2014","Says Mitch McConnell voted ""three times for corporate tax breaks that send Kentucky jobs overseas.""",mostly-false,campaign ad,National; Corporations; Message Machine 2014; Voting Record; Wealth; Taxes,Lauren Carroll,"September 12, 2014",https://www.politifact.com/factchecks/2014/sep/12/alison-lundergan-grimes/alison-lundergan-grimes-ad-says-mitch-mcconnell-vo/
"Vincent ""Buddy"" Cianci","September 10, 2014","Jorge Elorza ""wants to impose a municipal income tax.""",false,radio interview,Rhode Island; City Budget; Deficit; Economy; Taxes,C. Eugene Emery Jr.,"September 12, 2014",https://www.politifact.com/factchecks/2014/sep/12/vincent-buddy-cianci/buddy-cianci-says-jorge-elorza-wants-impose-munici/
Chris Larson,"September 8, 2014","""Over the next two years, this $1.8 billion deficit will cost individual Wisconsinites $300 each, or $1,200 for families of four.""",false,news release,Deficit; State Budget; Taxes; Wisconsin,Tom Kertscher,"September 11, 2014",https://www.politifact.com/factchecks/2014/sep/11/chris-larson/projected-state-budget-shortfall-will-cost-wiscons/
Alberta Darling,"September 8, 2014","""Wisconsin does not have a deficit. Thanks to Republican reforms, the 2014 budget will begin with a $443 million surplus.""",half-true,news release,Deficit; State Budget; Taxes; Wisconsin,Tom Kertscher,"September 11, 2014",https://www.politifact.com/factchecks/2014/sep/11/alberta-darling/despite-news-18-billion-shortfall-alberta-darling-/
Bob Beckel,"September 1, 2014","The United States has ""the most number of deductions available to corporations"" for the corporate income tax.",false,"discussion on Fox News' ""The Five""",Corporations; Taxes; PunditFact,Derek Tsang,"September 9, 2014",https://www.politifact.com/factchecks/2014/sep/09/bob-beckel/does-us-have-more-corporate-tax-deductions-any-oth/
Eric Bolling,"September 1, 2014","The United States has ""the highest corporate tax rate in the free world.""",mostly-true,"discussion on Fox News' ""The Five""",Corporations; Taxes; PunditFact,Derek Tsang,"September 9, 2014",https://www.politifact.com/factchecks/2014/sep/09/eric-bolling/does-us-have-highest-corporate-tax-rate-free-world/
Paul Ryan,"September 2, 2014","""Miller Brewing is not a U.S. company any more. Neither is Anheuser-Busch.""",true,speech,Alcohol; Corporations; Taxes; Wisconsin,James B. Nelson,"September 8, 2014",https://www.politifact.com/factchecks/2014/sep/08/paul-ryan/paul-ryan-says-miller-brewing-and-anheuser-busch-a/
Greater Wisconsin Committee,"August 28, 2014","""Scott Walker cut school funding more per student than any governor in America.""",mostly-true,TV ad,Children; Education; Message Machine 2014; State Budget; States; Taxes; Wisconsin,Tom Kertscher,"September 7, 2014",https://www.politifact.com/factchecks/2014/sep/07/greater-wisconsin-political-fund/scott-walker-cut-school-funding-more-any-governor-/
Wisconsin State AFL-CIO,"August 31, 2014","""Scott Walker has given a $10,000 tax deduction to millionaires who send their kids to exclusive private schools.""",mostly-false,direct-mail piece,Education; Income; Wealth; Taxes; Wisconsin,Tom Kertscher,"August 31, 2014",https://www.politifact.com/factchecks/2014/aug/31/wisconsin-state-afl-cio/scott-walker-gave-10000-tax-break-millionaires-afl/
Burger King,"August 26, 2014","After merging with Tim Hortons of Canada, Burger King is ""not moving. … Our headquarters will remain in Miami"" and ""(we) will continue to pay all of our federal, state and local U.S. taxes.""",half-true,Facebook post,National; Corporations; Taxes,Louis Jacobson,"August 29, 2014",https://www.politifact.com/factchecks/2014/aug/29/burger-king/burger-king-says-its-not-moving-and-will-continue-/
Chris Matthews,"August 27, 2014","On tax inversions, the Wall Street Journal ""surprisingly attacked this tax scheme.""",false,"broadcast of MSNBC's ""Hardball""",Taxes; PunditFact,Jon Greenberg,"August 29, 2014",https://www.politifact.com/factchecks/2014/aug/29/chris-matthews/does-wall-street-journal-really-oppose-burger-king/
Bernie Sanders,"August 27, 2014","""In 1952, the corporate income tax accounted for 33 percent of all federal tax revenue. Today, despite record-breaking profits, corporate taxes bring in less than 9 percent.""",mostly-true,meme on social media,National; Corporations; Taxes,Louis Jacobson,"August 28, 2014",https://www.politifact.com/factchecks/2014/aug/28/bernie-sanders/bernie-sanders-says-tax-share-paid-corporations-ha/
Truth in Accounting,"August 4, 2014","Each Georgia taxpayer would have to send $5,000 to the treasury to cover the state’s debt.",mostly-false,recent report,Georgia; Pensions; State Budget; Taxes,April Hunt,"August 27, 2014",https://www.politifact.com/factchecks/2014/aug/27/truth-accounting/georgias-finances-not-alarming-report-suggests/
Senate Majority PAC,"August 20, 2014","Says Thom Tillis ""gives tax breaks to yacht and jet owners.""",false,campaign ad,National; Message Machine 2014; Wealth; Taxes,Lauren Carroll,"August 26, 2014",https://www.politifact.com/factchecks/2014/aug/26/senate-majority-pac/ad-says-senate-candidate-thom-tillis-gave-tax-brea/
Mike Martinez,"August 4, 2014","""The majority of Austinites rent"" the places they live.",true,as quoted,City Budget; City Government; Taxes; Texas,W. Gardner Selby,"August 22, 2014",https://www.politifact.com/factchecks/2014/aug/22/mike-martinez/mike-martinez-says-majority-austin-residents-are-r/
Scott Walker,"July 21, 2014","Says his ""Act 10 reforms"" have ""saved the taxpayers some $3 billion.""",mostly-true,news article,City Government; County Government; Health Care; Pensions; State Budget; Taxes; Wisconsin,Tom Kertscher,"August 20, 2014",https://www.politifact.com/factchecks/2014/aug/20/scott-walker/scott-walker-says-union-reform-law-brought-massive/
Gary Lambert,"August 11, 2014","Says Marilinda Garcia supports ""$150 billion in new taxes.""",pants-fire,campaign mailer,New Hampshire; Economy; Taxes,Jim Haddadin,"August 15, 2014",https://www.politifact.com/factchecks/2014/aug/15/gary-lambert/gop-challenger-gary-lambert-says-rival-marilinda-g/
NextGen Climate Action Committee,"August 30, 2014","Says U.S. Senate candidate Joni Ernst signed a pledge that ""protects tax breaks for companies that ship jobs overseas.""",false,television ad,National; Corporations; Taxes,Lauren Carroll,"August 5, 2014",https://www.politifact.com/factchecks/2014/aug/05/next-generation-climate-action-committee/ad-says-joni-ernst-pledged-protect-tax-breaks-comp/
Charlotte Nash,"July 15, 2014","Gwinnett County government has made ""significant cutbacks in staffing.""",half-true,at a commission meeting,Georgia; County Budget; Taxes,Nancy Badertscher,"August 5, 2014",https://www.politifact.com/factchecks/2014/aug/05/charlotte-nash/gwinnett-claim-hurt-by-comparisons/
Charlie Crist,"July 31, 2014","Says Rick Scott ""raised property taxes.""",mostly-false,campaign commercial,Education; State Budget; Taxes; Florida,Joshua Gillin,"August 1, 2014",https://www.politifact.com/factchecks/2014/aug/01/charlie-crist/rick-scott-raised-property-taxes-charlie-crist-say/
Paul Ryan,"July 25, 2014","Twenty percent of single adults, ages 21 to 25 with no kids, ""are not working or even in school trying to find a job.""",false,interview,Children; Education; Federal Budget; Jobs; Poverty; Taxes; Wisconsin,Tom Kertscher,"July 30, 2014",https://www.politifact.com/factchecks/2014/jul/30/paul-ryan/one-five-single-childless-adults-their-early-20s-n/
Jamie Weinstein,"July 18, 2014","The states that are doing ""better"" are the ones that have no state income tax.",half-true,"comments on HBO's ""Real Time with Bill Maher""",Taxes; PunditFact,Derek Tsang,"July 28, 2014",https://www.politifact.com/factchecks/2014/jul/28/jamie-weinstein/are-states-without-income-tax-doing-better-ones-do/
Brookhaven,"July 21, 2014",Brookhaven homeowners pay hundreds of dollars less in property taxes compared with owners of the same-value homes in unincorporated DeKalb County.,half-true,city mailer,Georgia; Taxes,April Hunt,"July 28, 2014",https://www.politifact.com/factchecks/2014/jul/28/city-brookhaven/claim-exaggerates-tax-savings/
Patriot Majority USA,"July 22, 2014","A tax plan promoted by North Carolina Senate candidate Thom Tillis will ""overwhelmingly benefit the wealthy.""",mostly-true,television ad,National; State Budget; Welfare; Taxes,Lauren Carroll,"July 25, 2014",https://www.politifact.com/factchecks/2014/jul/25/patriot-majority-usa/liberal-pac-says-senate-candidate-thom-tillis-tax-/
Club for Growth,"July 21, 2014","When the New Hampshire Legislature raised the gasoline tax, gas prices in the state were ""skyrocketing.""",false,campaign ad,New Hampshire; Energy; Taxes,Louis Jacobson,"July 23, 2014",https://www.politifact.com/factchecks/2014/jul/23/club-growth/club-growth-says-nh-gas-tax-enacted-when-prices-we/
Mitch McConnell,"July 17, 2014","Says a new report shows the ""devastating tax hikes (in the health care law) will have on middle-class Kentuckians.""",mostly-false,press release,National; Health Care; Taxes,Steve Contorno,"July 23, 2014",https://www.politifact.com/factchecks/2014/jul/23/mitch-mcconnell/mitch-mcconnell-claims-devastating-tax-increase-mi/
Nan Rich,"July 11, 2014","Florida has the ""third most-regressive tax"" structure.",mostly-true,speech to the Florida Press Association,Poverty; Taxes; Florida,Amy Sherman,"July 22, 2014",https://www.politifact.com/factchecks/2014/jul/22/nan-rich/nan-rich-says-florida-has-third-most-regressive-ta/
Republican Party of Florida,"July 8, 2014","Says Charlie Crist ""raised taxes on the middle class"" by $2.2 billion.",mostly-true,campaign commercial,Taxes; Florida,Joshua Gillin,"July 10, 2014",https://www.politifact.com/factchecks/2014/jul/10/republican-party-florida/florida-gop-says-charlie-crist-raised-taxes-22-bil/
Charlie Crist,"July 7, 2014","""We cut property taxes for seniors and our middle class.""",mostly-true,campaign commercial,Taxes; Florida,Joshua Gillin,"July 10, 2014",https://www.politifact.com/factchecks/2014/jul/10/charlie-crist/charlie-crist-says-he-cut-property-taxes-seniors-a/
Allan Fung,"June 26, 2014","Cranston's 2014-2015 ""budget funds 100 percent of the local police and fire pension and other retiree benefit costs.""",mostly-true,letter to taxpayers,Rhode Island; Economy; Income; Labor; Pensions; Unions; Workers; Taxes,C. Eugene Emery Jr.,"July 9, 2014",https://www.politifact.com/factchecks/2014/jul/09/allan-fung/does-mayor-allan-fungs-budget-cranston-cover-all-r/
Jack Kingston,"June 19, 2014",David Perdue said he’d raise taxes.,half-true,television ad,Georgia; Taxes,April Hunt,"July 8, 2014",https://www.politifact.com/factchecks/2014/jul/08/jack-kingston/would-david-perdue-raise-taxse/
Florida Democratic Party,"July 1, 2014","Says Rick Scott ""cut education to pay for even more tax breaks for big, powerful, well-connected corporations.""",half-true,TV ad,Education; Taxes; Florida,Amy Sherman,"July 7, 2014",https://www.politifact.com/factchecks/2014/jul/07/florida-democratic-party/rick-scott-cut-education-pay-tax-breaks-democratic/
Vicky Hartzler,"June 24, 2014","The Export-Import Bank ""doesn’t cost taxpayers anything.""",half-true,"""Roll Call"" interview",National; Congress; Corporations; Deficit; Economy; Federal Budget; Financial Regulation; Foreign Policy; Taxes,Lauren Carroll,"June 30, 2014",https://www.politifact.com/factchecks/2014/jun/30/vicky-hartzler/rep-hartzler-says-export-import-bank-free-taxpayer/
Scott Walker,"June 20, 2014","""When Jim Doyle was governor and Mary Burke was commerce secretary,"" Wisconsin saw ""billions in middle-class tax hikes on nursing home beds, gas, phones and garbage.""",false,campaign TV ad,State Budget; Taxes; Wisconsin,Dave Umhoefer,"June 26, 2014",https://www.politifact.com/factchecks/2014/jun/26/scott-walker/scott-walker-says-mary-burke-tied-billions-tax-hik/
Donna Brazile,"June 22, 2014","The IRS ""also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.""",half-true,"comments on CNN's ""State of the Union""",Elections; Taxes; PunditFact,Steve Contorno,"June 22, 2014",https://www.politifact.com/factchecks/2014/jun/22/donna-brazile/donna-brazile-no-conspiracy-here-irs-targeted-libe/
Jack Reed,"May 1, 2014","The Senate proposal to restore emergency unemployment benefits for five months was ""fully paid for.""",mostly-false,Senate floor speeches and during a news conference,Rhode Island; Congress; Debt; Deficit; Economy; Federal Budget; Income; Jobs; Labor; Workers; Taxes,C. Eugene Emery Jr.,"June 22, 2014",https://www.politifact.com/factchecks/2014/jun/22/jack-reed/us-sen-jack-reed-says-proposal-restore-emergency-u/
Scott Brown,"June 10, 2014","Says Jeanne Shaheen ""voted for a measure that would have amounted to a new national energy tax.""",mostly-false,press release,New Hampshire; Energy; Voting Record; Taxes,Jim Haddadin,"June 18, 2014",https://www.politifact.com/factchecks/2014/jun/18/scott-brown/scott-brown-says-jeanne-shaheen-voted-new-national/
Paul Ryan,"May 5, 2014","Medicare is ""going broke. The trust fund goes bankrupt in 2026.""",mostly-false,remarks at a forum,Federal Budget; Health Care; Medicare; Retirement; Taxes; Wisconsin,Tom Kertscher,"June 5, 2014",https://www.politifact.com/factchecks/2014/jun/05/paul-ryan/paul-ryan-says-medicare-going-bankrupt/
Michael Sullivan,"May 23, 2014","""From the ‘Do As I Say Not As I Do’ department: federal employees owe $3.3 billion in back taxes.""",mostly-true,tweet,Taxes; Texas,W. Gardner Selby,"May 30, 2014",https://www.politifact.com/factchecks/2014/may/30/michael-sullivan/sullivan-claim-about-federal-workers-owing-taxes-p/
Angel Taveras,"May 12, 2014","I turned ""a $110 million deficit into a $1.6 million surplus for our city.""",mostly-false,fundraising letter,Rhode Island; Candidate Biography; City Budget; City Government; Debt; Deficit; Economy; History; Unions; Taxes,C. Eugene Emery Jr.,"May 25, 2014",https://www.politifact.com/factchecks/2014/may/25/angel-taveras/providence-mayor-angel-taveras-says-he-has-turned-/
