statement_originator,statement_date,statement,verdict,statement_source,tags,factchecker,factcheck_date,factcheck_analysis_link
Lupe Valdez,"July 31, 2017",Says Texas Department of Public Safety numbers show that 1.6 percent of crime is committed by unauthorized immigrants.,half-true,Dallas Morning News news story,Immigration; Crime; Texas,W. Gardner Selby,"December 22, 2017",https://www.politifact.com/factchecks/2017/dec/22/lupe-valdez/lupe-valdez-says-unauthorized-immigrants-account-1/
Donald Trump,"December 15, 2017","Says of the diversity visa lottery program, ""they give us their worst people, they put them in a bin,"" and ""the worst of the worst"" are selected.",pants-fire,speech,Immigration; National; Homeland Security,Miriam Valverde,"December 20, 2017",https://www.politifact.com/factchecks/2017/dec/20/donald-trump/pick-them-bin-donald-trump-mischaracterizes-divers/
USA In Front,"December 11, 2017",BREAKING: Illegal Muslim From Iran Arrested For Starting California Wildfire,pants-fire,headline,Immigration; Fake news; Fires; Crime; Public Safety; California,Chris Nichols,"December 20, 2017",https://www.politifact.com/factchecks/2017/dec/20/usa-front/pants-fire-fabricated-claim-about-muslim-immigrant/
nofakenews-online,"December 12, 2017","""Update: van full of illegals caught voting at multiple Alabama polling locations.""",pants-fire,headline,Immigration; Elections; Fake news; PunditFact,Amy Sherman,"December 13, 2017",https://www.politifact.com/factchecks/2017/dec/13/nofakenews-online/no-undocumented-immigrants-were-not-caught-voting-/
Chain email,"December 5, 2017","Says Russian President Vladimir Putin got a standing ovation from the Duma after he gave a speech saying Muslims are ""taking over"" other countries but won't take over Russia.",pants-fire,chain email,Immigration; Islam; PunditFact,Sophie Kaplan,"December 11, 2017",https://www.politifact.com/factchecks/2017/dec/11/chain-email/chain-email-putin-says-minorities-should-adopt-rus/
Adam Putnam,"November 30, 2017","Says Tallahassee mayor Andrew Gillum ""wants to make Florida not a sanctuary city but a sanctuary state.""",half-true,campaign speech,Immigration; Florida,Allison Graves,"December 6, 2017",https://www.politifact.com/factchecks/2017/dec/06/adam-putnam/does-andrew-gillum-want-make-florida-sanctuary-sta/
Kathy Sheehan,"November 16, 2017","""Simply being in this country without documentation is not a crime""",mostly-true,interview on Tucker Carlson Tonight,Immigration; New York,Dan Clark,"December 2, 2017",https://www.politifact.com/factchecks/2017/dec/02/kathy-sheehan/being-undocumented-immigrant-us-not-crime/
Pipo News,"November 11, 2017","""Civil war erupts in Sweden as irate Swedes burn nine Muslim refugee centers to the ground""",false,headline,Immigration; Fake news; Religion; PunditFact,Amy Sherman,"November 21, 2017",https://www.politifact.com/factchecks/2017/nov/21/pipo-news/fake-news-civil-war-erupts-sweden/
Marsha Blackburn,"November 9, 2017","""When Phoenix dropped its sanctuary city policy in 2008, its murder rate fell 27 percent the following year.""",half-true,Fox News post,Immigration; National; Homeland Security; Crime,Miriam Valverde,"November 17, 2017",https://www.politifact.com/factchecks/2017/nov/17/marsha-blackburn/rep-blackburn-claims-phoenix-murder-rate-decline-l/
Chris King,"October 28, 2017","""Hispanic entrepreneurs, those who have immigrated from Spanish-speaking countries, often start three times as many businesses as white males.""",mostly-true,response during the Democratic Forum,Immigration; Florida,Allison Graves,"November 14, 2017",https://www.politifact.com/factchecks/2017/nov/14/chris-king/do-hispanic-entrepreneurs-often-start-three-times-/
Joaquin Castro,"November 1, 2017","""Ending (Temporary Protected Status) and deporting legal workers would cost the United States ~$164 billion in GDP over a decade.""",half-true,tweet,Immigration; National; Homeland Security,Miriam Valverde,"November 13, 2017",https://www.politifact.com/factchecks/2017/nov/13/joaquin-castro/rep-joaquin-castro-claims-tps-end-will-lead-164b-g/
David Perdue,"November 1, 2017","The diversity visa lottery is ""plagued by fraud.""",mostly-true,tweet,Immigration; National; Homeland Security,Miriam Valverde,"November 6, 2017",https://www.politifact.com/factchecks/2017/nov/06/david-perdue/gop-sen-david-perdue-says-diversity-visa-lottery-p/
New York Republican State Committee,"November 1, 2017","""Liberals in County Hall want our community to be a sanctuary county""",pants-fire,political mailer,Immigration; New York,Dan Clark,"November 3, 2017",https://www.politifact.com/factchecks/2017/nov/03/new-york-republican-state-committee/republican-mailer-claims-democrats-are-trying-make/
Sarah Huckabee Sanders,"November 1, 2017",Says diversity visa immigrants are not vetted.,false,White House press briefing,Immigration; National; Homeland Security,Miriam Valverde,"November 2, 2017",https://www.politifact.com/factchecks/2017/nov/02/sarah-huckabee-sanders/white-house-press-secretary-claims-diversity-visa-/
Donald Trump,"November 1, 2017","Says the diversity visa lottery program is ""a Chuck Schumer beauty.""",mostly-false,tweet,Immigration; National; Terrorism,Louis Jacobson,"November 1, 2017",https://www.politifact.com/factchecks/2017/nov/01/donald-trump/was-diversity-visa-program-schumer-beauty-donald-t/
Jeff Sessions,"October 12, 2017","In the U.S. asylum system, ""claims of 'fear to return' have skyrocketed, and the percentage of claims that are genuinely meritorious are down.""",half-true,speech,Immigration; National; Homeland Security,Miriam Valverde,"October 19, 2017",https://www.politifact.com/factchecks/2017/oct/19/jeff-sessions/jeff-sessions-claim-about-asylum-system-fraudulent/
Casey Cagle,"October 9, 2017","A Homeland Security study ""showed 120 murders took place that could have been prevented had communities been working with ICE and Homeland Security.""",false,WSB-TV interview,Georgia; Immigration; Homeland Security,Miriam Valverde,"October 12, 2017",https://www.politifact.com/factchecks/2017/oct/12/casey-cagle/georgia-lt-gov-casey-cagle-misleads-claim-about-ho/
Donald Trump,"October 8, 2017","""Loopholes in current law prevent ‘Unaccompanied Alien Children’ (UACs) that arrive in the country illegally from being removed.""",mostly-false,document,Immigration; National; Homeland Security,Miriam Valverde,"October 11, 2017",https://www.politifact.com/factchecks/2017/oct/11/donald-trump/donald-trump-omits-facts-claim-loopholes-minors-un/
Tom Cotton,"September 17, 2017","""If you pass the so-called Dream Act, it will be the single biggest amnesty in the history of the United States, even bigger than the 1986 amnesty.""",mostly-false,NBC interview,Immigration; National; Homeland Security,Miriam Valverde,"September 26, 2017",https://www.politifact.com/factchecks/2017/sep/26/tom-cotton/sen-tom-cotton-misleads-claim-about-dream-act-amne/
Roy Moore,"September 21, 2017","DACA was ""a mere memo from the Department of Homeland security under Barack Obama, which violated the laws.""",half-true,debate,Immigration; National; Homeland Security,Joshua Gillin,"September 22, 2017",https://www.politifact.com/factchecks/2017/sep/22/roy-moore/debate-roy-moore-claims-daca-immigration-rules-vio/
Nancy Pelosi,"September 18, 2017","""Seventy-six percent of the American people support us passing the DREAM Act … with citizenship and legalization as part of it all. … More than 60 percent of Republicans support that.""",true,speech at Sacramento State University,Immigration; California,Chris Nichols,"September 19, 2017",https://www.politifact.com/factchecks/2017/sep/19/nancy-pelosi/nancy-pelosi-claims-three-quarters-americans-suppo/
Donald Trump,"September 14, 2017","Says ""92 percent of the people agree on DACA.""",half-true,remarks to reporters,Immigration; National; Homeland Security,Miriam Valverde,"September 18, 2017",https://www.politifact.com/factchecks/2017/sep/18/donald-trump/president-donald-trumps-half-true-claim-support-da/
Senate Leadership Fund,"September 14, 2017","Says Roy Moore is ""on the wrong side of Trump’s border wall.""",mostly-false,attack ad,Immigration; National,Jon Greenberg,"September 18, 2017",https://www.politifact.com/factchecks/2017/sep/18/senate-leadership-fund/gop-super-pac-says-alabamas-roy-moore-doesnt-back-/
Adam Putnam,"August 30, 2017","San Francisco and Takoma Park, Md., are ""allowing illegals to vote.""",half-true,tweet,Immigration; Elections; Florida,Miriam Valverde,"September 15, 2017",https://www.politifact.com/factchecks/2017/sep/15/adam-putnam/san-francisco-takoma-park-noncitizens-elections/
Ken Paxton,"September 5, 2017","""President Obama used"" his DACA order ""to unilaterally confer U.S. citizenship.""",pants-fire,press release,Immigration; Texas,W. Gardner Selby,"September 15, 2017",https://www.politifact.com/factchecks/2017/sep/15/ken-paxton/ken-paxton-obama-daca-citizenship-incorrect-claim-/
Dave Brat,"September 7, 2017","""So the number on DACA is 800,000, but every one person can bring in their entire extended family once they reach a certain status. So it's 3 or 4 million, right?""",false,interview on MSNBC,Immigration; National; Homeland Security,Miriam Valverde,"September 15, 2017",https://www.politifact.com/factchecks/2017/sep/15/dave-brat/rep-dave-brats-false-claim-about-daca-chain-migrat/
Eric Schneiderman,"September 6, 2017","""No court has held (Deferred Action for Childhood Arrivals) unconstitutional.""",true,interview on The Rachel Maddow Show,Immigration; National; Homeland Security,Miriam Valverde,"September 11, 2017",https://www.politifact.com/factchecks/2017/sep/11/eric-schneiderman/has-daca-been-ruled-unconstitutional/
Louise Slaughter,"September 5, 2017","Rescinding the Deferred Action for Childhood Arrivals program ""will harm our economy.""",true,tweet,Immigration; New York,PolitiFact Staff,"September 10, 2017",https://www.politifact.com/factchecks/2017/sep/10/louise-slaughter/would-trumps-decision-daca-hurt-new-yorks-economy/
Al Franken,"September 5, 2017","""President (Ronald) Reagan did a similar thing. George H.W. Bush did a similar order"" as former President Barack Obama’s Deferred Action for Childhood Arrivals, or DACA.",mostly-true,interview,Immigration; National,John Kruzel,"September 8, 2017",https://www.politifact.com/factchecks/2017/sep/08/al-franken/did-reagan-and-hw-bush-issue-orders-similar-daca-a/
Rick Santorum,"September 3, 2017","""We have over a million (legal immigrants) a year, more than at any time in the history of this country. We have the largest percentage of immigrants, almost tied now with the historical high as a percentage of immigrants living in this country.""",half-true,CNN interview,Immigration; National,Manuela Tobias,"September 6, 2017",https://www.politifact.com/factchecks/2017/sep/06/rick-santorum/has-legal-immigration-hit-record-high-rick-santoru/
Jeff Denham,"September 5, 2017","Says Barack Obama, Chuck Schumer and Hillary Clinton ""all voted for"" a border wall as senators.",half-true,interview on NPR,Immigration; Homeland Security; California,Chris Nichols,"September 6, 2017",https://www.politifact.com/factchecks/2017/sep/06/jeff-denham/jeff-denhams-half-true-claim-top-democrats-support/
Jeff Sessions,"September 5, 2017","Says President Barack Obama’s policy known as DACA ""contributed to a surge of minors at the southern border.""",mostly-false,remarks at the Justice Department,Immigration; National; Legal Issues; Race and Ethnicity,Louis Jacobson,"September 5, 2017",https://www.politifact.com/factchecks/2017/sep/05/jeff-sessions/jeff-sessions-questionable-claim-daca-helped-cause/
Bruce Rauner,"August 28, 2017","""My grandparents were proud immigrants to the United States of America, here to Illinois in the late 1800s. My grandparents did not speak English when they were young.""",pants-fire,bill signing event,Immigration; Illinois,Matt Dietrich,"September 5, 2017",https://www.politifact.com/factchecks/2017/sep/05/bruce-rauner/rauner-trims-twists-branches-his-family-tree-immig/
Donald Trump,"August 28, 2017","""We stopped traffic coming through -- 78 percent.""",false,press conference,Immigration; National,Miriam Valverde,"August 31, 2017",https://www.politifact.com/factchecks/2017/aug/31/donald-trump/donald-trump-repeats-false-claim-about-border-stop/
Matt Gaetz,"August 18, 2017","""As of 2014, illegal aliens made up roughly 3.5 percent of our population, and committed over 10 percent of all murders.""",mostly-false,newsletter,Immigration; Crime; Public Safety; Florida,Miriam Valverde,"August 30, 2017",https://www.politifact.com/factchecks/2017/aug/30/matt-gaetz/gaetz-misleads-claim-about-immigrants-crime/
Joe Arpaio,"August 25, 2017","Says his conviction is ""a political witch hunt by holdovers in the Obama justice department.""",false,tweet,Immigration; National; Legal Issues,Jon Greenberg,"August 29, 2017",https://www.politifact.com/factchecks/2017/aug/29/joe-arpaio/arpaio-falsely-ties-conviction-obama-administratio/
Illinois Family Institute,"August 19, 2017","Public schools, colleges and state-funded day care centers ""will be made into sanctuaries by Bruce Rauner signing SB 31.""",false,blog post,Immigration; Illinois,Matt Dietrich,"August 28, 2017",https://www.politifact.com/factchecks/2017/aug/28/illinois-family-institute/illinois-schools-immigrant-sanctuaries-if-only-the/
Jeff Sessions,"August 7, 2017","Chicago city officials ""have adopted an official policy of protecting criminal aliens who prey on their own residents.""",false,press release,Immigration; Homeland Security; Crime; Illinois; Guns,Matt Dietrich,"August 16, 2017",https://www.politifact.com/factchecks/2017/aug/16/jeff-sessions/jeff-sessions-stretches-link-criminal-aliens-and-c/
David Perdue,"August 8, 2017","""Half of all immigrant households receive benefits from our social welfare system.""",mostly-true,USA Today op-ed,Georgia; Immigration; Welfare,Miriam Valverde,"August 14, 2017",https://www.politifact.com/factchecks/2017/aug/14/david-perdue/sen-david-perdue-half-immigrant-households-benefit/
Antonio  Villaraigosa,"July 31, 2017","""Undocumented immigrants commit less crimes than the native born.""",mostly-true,interview on MSNBC,Immigration; Corrections and Updates; Crime; The 2018 California Governor's Race; California,Chris Nichols,"August 3, 2017",https://www.politifact.com/factchecks/2017/aug/03/antonio-villaraigosa/mostly-true-undocumented-immigrants-less-likely-co/
Donald Trump,"July 28, 2017","""The border is down 78 percent. Under past administrations, the border didn’t go down -- it went up.""",false,speech,Immigration; National; Homeland Security,Miriam Valverde,"August 3, 2017",https://www.politifact.com/factchecks/2017/aug/03/donald-trump/false-trumps-claim-about-illegal-immigration-under/
Bloggers,"June 28, 2017","""Over $13 million worth of crops have ROTTED in California, all because no one is willing to work jobs vacated by migrants.""",half-true,blog post,Agriculture; Immigration; Food; PunditFact,Joshua Gillin,"July 24, 2017",https://www.politifact.com/factchecks/2017/jul/24/blog-posting/13-million-crops-rotted-calif-because-no-one-wante/
Jeff Sessions,"July 12, 2017","""According to a recent study from the University of California Riverside, (sanctuary) cities with these policies have more violent crime on average than those that don’t.""",mostly-false,speech,Immigration; National; Homeland Security; Crime,Miriam Valverde,"July 24, 2017",https://www.politifact.com/factchecks/2017/jul/24/jeff-sessions/jeff-sessions-mischaracterizes-study-sanctuary-cit/
Tony Fabrizio,"July 10, 2017","Says Adam Putnam ""was for amnesty.""",half-true,interview with Politico,Immigration; Florida,Amy Sherman,"July 24, 2017",https://www.politifact.com/factchecks/2017/jul/24/tony-fabrizio/was-adam-putnam-running-florida-governor-amnesty/
Kellyanne Conway,"July 22, 2017","Just 6 percent of Americans say Russia is the country’s most important issue, yet the story receives ""75 percent of the coverage"" in the media.",mostly-false,Fox News interview,Immigration; National; Economy; Health Care; Jobs; Foreign Policy,Manuela Tobias,"July 23, 2017",https://www.politifact.com/factchecks/2017/jul/23/kellyanne-conway/does-russia-take-75-percent-media-coverage/
Donald Trump,"June 28, 2017","""We're pretty much at the 50 percent mark"" on deportations of MS-13 gang members.",false,immigration roundtable discussion,Immigration; National; Homeland Security; Crime,Miriam Valverde,"June 30, 2017",https://www.politifact.com/factchecks/2017/jun/30/donald-trump/trump-falsely-claims-his-administration-has-deport/
Ainsley Earhardt,"June 20, 2017","""5.7 million -- that’s how many illegal immigrants might have voted"" in 2008.",false,"""Fox and Friends"" show",Immigration; Elections; Florida,Amy Sherman,"June 22, 2017",https://www.politifact.com/factchecks/2017/jun/22/ainsley-earhardt/following-trump-voter-fraud-allegations-claim-57-m/
Ken Paxton,"June 16, 2017","Says Barack Obama ""acknowledged over 20 times"" that his administration’s Deferred Action for Parents of Americans ""immigration edict was a violation of law and the separation of powers.""",mostly-false,press release,Immigration; Texas,W. Gardner Selby,"June 21, 2017",https://www.politifact.com/factchecks/2017/jun/21/ken-paxton/ken-paxton-inaccurately-says-barack-obama-repeated/
Ann Coulter,"June 8, 2017","The Trump administration has granted amnesty to ""nearly 100,000 'Dreamers' """,mostly-true,a tweet,Immigration; Homeland Security; PunditFact,Miriam Valverde,"June 21, 2017",https://www.politifact.com/factchecks/2017/jun/21/ann-coulter/ann-coulter-says-trump-granted-amnesty-nearly-1000/
John Kelly,"May 28, 2017","""Many of the countries in question (in Trump’s travel ban) don't even have a U.S. embassy there to help us vet.""",true,Fox News interview,Immigration; National; Homeland Security,Miriam Valverde,"May 31, 2017",https://www.politifact.com/factchecks/2017/may/31/john-kelly/are-there-us-embassies-countries-listed-trumps-tra/
Greg Abbott,"May 7, 2017","Says Travis County Sheriff Sally Hernandez ""declared that she would not detain known criminals accused of violent crimes.""",pants-fire,statement before signing Senate Bill 4 into law over a Facebook Live,Immigration; Criminal Justice; Crime; Texas,W. Gardner Selby,"May 18, 2017",https://www.politifact.com/factchecks/2017/may/18/greg-abbott/torching-greg-abbotts-claim-travis-county-sheriff-/
Jorge Ramos,"May 12, 2017","""Some of the safest communities in the United States are along the border.""",mostly-true,Fox News interview,Immigration; Homeland Security; Crime; PunditFact,Miriam Valverde,"May 17, 2017",https://www.politifact.com/factchecks/2017/may/17/jorge-ramos/jorge-ramos-border-communities-some-safest-country/
Jeff Sessions,"April 28, 2017","District attorneys ""have advertised that they will charge a criminal alien with a lesser offense than presumably they would charge a United States citizen, so they won’t be deported.""",half-true,remarks to law enforcement officers,Immigration; National; Criminal Justice; Homeland Security; Crime,Miriam Valverde,"May 10, 2017",https://www.politifact.com/factchecks/2017/may/10/jeff-sessions/sessions-claims-district-attorneys-charge-immigran/
Sally Hernandez,"April 18, 2017","""FBI crime statistics have found that labeled ‘sanctuary’ cities experience lower rates of all crime types, including homicides.""",half-true,oped commentary co-authored by four other Texas sheriffs,Immigration; Criminal Justice; Crime; Texas,W. Gardner Selby,"May 10, 2017",https://www.politifact.com/factchecks/2017/may/10/sally-hernandez/sally-hernandez-says-cities-labeled-sanctuaries-ha/
Wisconsin Freedom Alliance,"April 25, 2017","Wisconsin politicians get daily expense payments ""even if they don’t spend a dime on meals, or lodging or travel,"" and ""no receipts are required for them to get paid.""",mostly-true,radio ad,Immigration; Income; State Budget; Wisconsin,Dave Umhoefer,"May 3, 2017",https://www.politifact.com/factchecks/2017/may/03/wisconsin-freedom-alliance/do-s-legislator-get-daily-stipend-just-showing/
Scott Peters,"April 24, 2017","The estimated price of President Trump’s border wall is the same as the cost of ""one and a half aircraft carriers.""",true,news article,Immigration; Federal Budget; Homeland Security; Military; California,Chris Nichols,"April 28, 2017",https://www.politifact.com/factchecks/2017/apr/28/scott-peters/would-trumps-border-wall-cost-same-one-and-half-us/
Jeff Sessions,"April 23, 2017","Treasury Department's inspector general found ""there's $4 billion a year in excess payments"" going to people that shouldn’t get them. ""These are mostly Mexicans.""",half-true,interview on ABC's This Week,Immigration; National; Economy; Homeland Security,Miriam Valverde,"April 27, 2017",https://www.politifact.com/factchecks/2017/apr/27/jeff-sessions/sessions-says-4-billion-tax-credits-go-mostly-mexi/
Donald Trump,"April 26, 2017","The Ninth Circuit has an overturned record ""close to 80%.""",half-true,tweet,Immigration; National; Homeland Security,Lauren Carroll,"April 26, 2017",https://www.politifact.com/factchecks/2017/apr/26/donald-trump/does-ninth-circuit-have-overturn-record-close-80/
Ron Kind,"February 16, 2017","""We're experiencing a net outflow of illegal, undocumented workers from America back to Mexico.""",true,radio interview,Immigration; Homeland Security; Wisconsin,Eric Litke,"April 26, 2017",https://www.politifact.com/factchecks/2017/apr/26/ron-kind/yes-experiencing-net-outflow-illegal-undocumented-/
Donald Trump,"April 21, 2017","Illegal immigration on the U.S.-Mexico border is ""the lowest in 17 years.""",true,interview with the Associated Press,Immigration; National; Homeland Security,Miriam Valverde,"April 25, 2017",https://www.politifact.com/factchecks/2017/apr/25/donald-trump/illegal-immigration-lowest-17-years-trump-said/
Claire McCaskill,"January 31, 2017","""Nobody applies to the United States for refugee status. They apply to the United Nations.""",false,Senate hearing for Rex Tillerson’s nomination for U.S. Secretary of State,Immigration; Foreign Policy; Missouri,Aleissa Bleyl,"April 24, 2017",https://www.politifact.com/factchecks/2017/apr/24/claire-mccaskill/mccaskill-doesnt-account-all-refugee-cases/
Mick Mulvaney,"April 23, 2017","""They voted for (a border wall) in 2006. Then-Senator Obama voted for it. Sen. Schumer voted for it. Sen. Clinton voted for it.""",half-true,"segment on ""Fox News Sunday""",Immigration; National,Allison Graves,"April 23, 2017",https://www.politifact.com/factchecks/2017/apr/23/mick-mulvaney/fact-check-did-top-democrats-vote-border-wall-2006/
Donald Trump,"April 18, 2017","""The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!""",false,tweet,Immigration; National; Homeland Security; Crime,Amy Sherman,"April 18, 2017",https://www.politifact.com/factchecks/2017/apr/18/donald-trump/trump-falsely-claims-obama-policies-blame-growth-m/
Donald Trump,"April 17, 2017","Says Jon Ossoff wants to ""allow illegal immigration.""",mostly-false,tweet,Georgia; Immigration; Homeland Security,Miriam Valverde,"April 17, 2017",https://www.politifact.com/factchecks/2017/apr/17/donald-trump/trump-makes-false-claim-about-jon-ossoffs-immigrat/
Mike Rogers,"March 30, 2017","""In 2014, Mexico alone received over $24 billion in remittances sent from the U.S., while other South and Central American countries received over 15 percent of their (gross domestic product) in the form of remittances.""",half-true,press release,Immigration; National; Economy; Homeland Security,Miriam Valverde,"April 11, 2017",https://www.politifact.com/factchecks/2017/apr/11/mike-rogers-2/alabama-lawmaker-makes-half-true-claim-about-remit/
Donald Trump,"April 7, 2017","""Last month, we saw a 64 percent reduction in illegal immigration on our southern border.""",half-true,weekly address,Immigration; National; Homeland Security,Miriam Valverde,"April 10, 2017",https://www.politifact.com/factchecks/2017/apr/10/donald-trump/trump-illegal-immigration-down-64-percent-march-tr/
Brian Sims,"March 31, 2017","""Finally, I will continue to fight against Republicans like Martina White, who like Trump, wants to deport all of our hard working immigrant brothers and sisters and white wash America.""",pants-fire,a fundraising message,Immigration; Pennsylvania,Mark Dent,"April 5, 2017",https://www.politifact.com/factchecks/2017/apr/05/brian-sims/philly-rep-sims-martina-white-wants-deport-all-imm/
"John Conyers, Jr.","March 28, 2017","""Apprehension rates at the southern border have plummeted since the 1980s, and apprehensions of Mexicans specifically have reached their lowest point in nearly half a century.""",mostly-true,subcommittee hearing,Immigration; National; Homeland Security,Miriam Valverde,"April 3, 2017",https://www.politifact.com/factchecks/2017/apr/03/john-conyers/apprehensions/
Jeff Sessions,"March 27, 2017","""Just last May, the Department of Justice inspector general found that these (‘sanctuary city’) policies also violate federal law.""",mostly-false,press briefing,Immigration; National; Criminal Justice; Homeland Security; Crime,Miriam Valverde,"March 30, 2017",https://www.politifact.com/factchecks/2017/mar/30/jeff-sessions/jeff-sessions-misleads-saying-inspector-general-fo/
Carlos Guillermo Smith,"March 21, 2017","Says if a Florida bill (HB 697) punishing sanctuary cities becomes law ""it will be the only law of its kind in the nation.""",mostly-true,vote on HB 697,Immigration; States; Florida,Allison Graves,"March 30, 2017",https://www.politifact.com/factchecks/2017/mar/30/carlos-guillermo-smith/fact-check-florida-considering-one-kind-legislatio/
Florida Immigrant Coalition,"March 27, 2017","""As an undocumented immigrant, you do have constitutional rights here in the United States.""",mostly-true,Florida House subcommittee hearing,Immigration; Legal Issues; Florida,Amy Sherman,"March 29, 2017",https://www.politifact.com/factchecks/2017/mar/29/florida-immigrant-coalition/do-undocumented-immigrants-have-constitutional-rig/
Jim Kenney,"March 27, 2017","""Immigrants are responsible for 96 percent of our small biz growth since 2000.""",false,tweet,Immigration; City Government; Economy; Pennsylvania,Cassie Owens,"March 28, 2017",https://www.politifact.com/factchecks/2017/mar/28/jim-kenney/philly-mayor-draws-incorrect-immigrant-biz-stat-fl/
Brendan Reilly,"February 24, 2017 in","Said Adolf Hitler and Donald Trump have both described deportations as ""a military operation.""",mostly-false,on Twitter,Immigration; Illinois,Marc Filippino,"March 23, 2017",https://www.politifact.com/factchecks/2017/mar/23/brendan-reilly/chicago-alderman-misses-mark-comparing-donald-trum/
Donald Trump,"March 20, 2017","""Since the day of my election, we've already cut illegal immigration at the southern border by 61 percent.""",mostly-true,rally,Immigration; National; Homeland Security,Miriam Valverde,"March 22, 2017",https://www.politifact.com/factchecks/2017/mar/22/donald-trump/trump-says-illegal-immigration-down-61-percent-ele/
Patrick Leahy,"March 8, 2017","Wealthy foreigners can obtain visas through a special program, but only a small number ""invest in true high-unemployment areas. Almost every other EB-5 project uses gerrymandering to qualify as distressed.""",mostly-true,House Judiciary Committee hearing,Immigration; National,Miriam Valverde,"March 21, 2017",https://www.politifact.com/factchecks/2017/mar/21/patrick-leahy/leahy-eb-5-visas/
Florida Conference of Catholic Bishops,"March 15, 2017","""Unlawful presence (in the United States) is not a crime.""",mostly-true,Florida House subcommittee hearing,Immigration; Legal Issues; Florida,Louis Jacobson,"March 15, 2017",https://www.politifact.com/factchecks/2017/mar/15/florida-conference-catholic-bishops/being-united-states-unlawfully-crime/
Donald Trump,"March 13, 2017","""In the first full month of my administration following the issuance of my executive orders, illegal immigration on our southern border fell by an unprecedented 40 percent.""",mostly-true,his first Cabinet meeting,Immigration; National; Homeland Security,Miriam Valverde,"March 14, 2017",https://www.politifact.com/factchecks/2017/mar/14/donald-trump/trump-says-after-executive-orders-illegal-immigrat/
Keith Ellison,"March 7, 2017","Says President Donald Trump's travel ban could ban Somalis ""from getting relief (from famine) through coming to the United States.""",mostly-false,"interview on MSNBC's ""Morning Joe""",Global News Service; Immigration; Foreign Policy,Jon Greenberg,"March 13, 2017",https://www.politifact.com/factchecks/2017/mar/13/keith-ellison/ellison-says-travel-ban-will-hurt-somalis-fleeing-/
Social Media,"March 6, 2017","""It's important to pay attention to the Russian spy drama, but let's not ignore the fact that the following (10) bills have been introduced"" in the House.",mostly-true,social media posts,Abortion; Environment; Immigration; Education; Health Care; Foreign Policy; Workers; PunditFact,Louis Jacobson,"March 7, 2017",https://www.politifact.com/factchecks/2017/mar/07/social-media/social-media-post-pending-gop-bills-largely-accura/
Sean Ryan,"March 1, 2017","""Just last year, over 5,000 refugees came to New York state, and 94 percent settled outside of New York City.""",true,press conference,Immigration; New York,Dan Clark,"March 4, 2017",https://www.politifact.com/factchecks/2017/mar/04/sean-ryan/heres-where-refugees-settled-new-york-2016/
Donald Trump,"February 28, 2017","""According to data provided by the Department of Justice, the vast majority of individuals convicted of terrorism and terrorism-related offenses since 9/11 came here from outside of our country.""",mostly-false,speech before a joint session of Congress,Immigration; National; Homeland Security; Terrorism,Miriam Valverde,"March 2, 2017",https://www.politifact.com/factchecks/2017/mar/02/donald-trump/trump-misleads-claim-about-terrorism-convictions-9/
Greg Abbott,"February 6, 2017",Says Travis County’s sheriff refuses to enforce 8 USC 1373.,false,tweet,Immigration; Criminal Justice; Crime; Texas,W. Gardner Selby,"March 1, 2017",https://www.politifact.com/factchecks/2017/mar/01/greg-abbott/greg-abbott-falsely-says-travis-county-not-enforci/
Kamala Harris,"February 16, 2017","""Studies have shown Latinos are more than 40 percent less likely to call 911 when they have been a victim of a crime.""",mostly-true,speech,Immigration; Crime; California,Chris Nichols,"February 24, 2017",https://www.politifact.com/factchecks/2017/feb/24/kamala-harris/mostly-true-latinos-40-percent-less-likely-call-po/
Steve Adler,"February 14, 2017","""Local authorities in 43 states refused to honor more than 16,000 detainer requests from ICE from October 2013 to December 2015. Only in Alaska, Delaware, Hawaii, Maine, Montana, Vermont and Wyoming did local officials honor all requests, and detainers are relatively rare in those states.""",mostly-true,open letter to Austin residents,Immigration; Criminal Justice; Legal Issues; Crime; Texas,W. Gardner Selby,"February 23, 2017",https://www.politifact.com/factchecks/2017/feb/23/steve-adler/steve-adler-says-authorities-43-states-turned-down/
Robert Menendez,"February 13, 2017","Recent immigration raids ""are not business as usual. The raids are being done indiscriminately. They’re not focused simply on criminal aliens.""",half-true,tweet,Immigration; National; Homeland Security,Miriam Valverde,"February 17, 2017",https://www.politifact.com/factchecks/2017/feb/17/robert-menendez/sen-bob-menendez-says-immigration-raids-not-busine/
Stephen Miller,"February 12, 2017","""I'm calling into question the accuracy of the ruling. The district judge in Seattle said there was no indication of terrorism from these seven countries in our country.""",mostly-false,"interview on ABC's ""This Week""",Immigration; National; Legal Issues; Foreign Policy; Terrorism,Louis Jacobson,"February 14, 2017",https://www.politifact.com/factchecks/2017/feb/14/stephen-miller/did-court-find-no-indication-terrorism-seven/
Tom Cotton,"February 7, 2017","Of 1 million green cards issued a year, ""almost none of those green cards are based on job skills or demonstrated economic needs.""",mostly-true,Fox News interview,Immigration; National; Economy; Jobs,Miriam Valverde,"February 14, 2017",https://www.politifact.com/factchecks/2017/feb/14/tom-cotton/arkansas-senator-says-1-million-green-cards-issue-/
